original_question,perturbed_question,perturbation_method,original_density,perturbed_density,original_centrality,perturbed_centrality,density_change,centrality_change,answer,judge_label,is_hallucinated,judge_confidence,judge_justification
What is the main ingredient in pizza?,What is the main ingredient in pizza? (Note: Some historians dispute this.),confusing,1.4512781668818775,1.405574960055298,0.7974972982837298,0.7668039801351058,-0.04570320682657947,-0.030693318148624082,"The main ingredient in pizza is typically considered to be the dough, which is made from flour, water, yeast, and salt. The dough serves as the base for the pizza. However, some historians and culinary experts might argue that the sauce, cheese, or toppings could also be seen as key components, depending on the type of pizza being discussed. Overall, while the dough is often regarded as the foundational element, the specific interpretation can vary.",0,0,0.9,"The model's answer correctly identifies dough as the main ingredient in pizza, aligning with established knowledge, despite acknowledging some historical disputes."
What is the main ingredient in pizza?,Which Entity is the main ingredient in pizza?,synonyms,1.4512781668818775,1.381137980706212,0.7974972982837298,0.7435129524279442,-0.07014018617566542,-0.0539843458557856,"The main ingredient in pizza is typically the dough, which is made from flour, water, yeast, and salt. Once the dough is prepared, it is topped with sauce, cheese, and various other toppings. However, the dough itself serves as the foundation of the pizza.",0,0,1.0,"The model's answer correctly identifies dough as the main ingredient in pizza, which aligns with established knowledge."
What is the main ingredient in pizza?,What from a contemporary perspective is the main ingredient in pizza?,noise,1.4512781668818775,1.4244262315842686,0.7974972982837298,0.7210134656497319,-0.026851935297608875,-0.07648383263399794,"From a contemporary perspective, the main ingredient in pizza is often considered to be the dough, which serves as the foundation of the dish. While various toppings such as sauce, cheese, and various meats or vegetables are essential, the dough is what defines the structure and style of the pizza. Additionally, the type of flour used, the fermentation process, and the cooking method can significantly influence the final product, making the dough a critical component in modern pizza-making.",0,0,0.9,"The model's answer accurately identifies dough as a main ingredient in pizza, which aligns with established knowledge about pizza's structure and components."
What is the main ingredient in pizza?,What is the main ingredient in pizza? [pigTHKbfoLISRABr1VjA],nonsense,1.4512781668818775,1.4508346163732082,0.7974972982837298,0.7172533449063702,-0.00044355050866928813,-0.08024395337735968,"The main ingredient in pizza is typically dough, which is made from flour, water, yeast, and salt. Other key ingredients include tomato sauce, cheese, and various toppings, but the foundation of a pizza is its crust made from the dough.",0,0,1.0,"The model's answer correctly identifies dough as the main ingredient in pizza, which aligns with established knowledge."
What is the main ingredient in pizza?,"Given that experts have recently debunked this, What is the main ingredient in pizza?",false_premise,1.4512781668818775,1.4091091448055362,0.7974972982837298,0.7268402071803561,-0.04216902207634132,-0.0706570911033737,"The main ingredient in pizza is typically the dough, which is made from flour, water, yeast, and salt. The dough forms the base of the pizza, and it is topped with ingredients such as tomato sauce, cheese, and various toppings like vegetables, meats, and herbs.",0,0,1.0,"The model's answer correctly identifies the main ingredient in pizza as the dough, which is consistent with established knowledge."
How long does it take Jupiter to orbit the Sun?,How long does it take Jupiter to orbit the Sun? Although there are conflicting accounts.,confusing,1.4772664061495597,1.3468130272098238,0.811455685238459,0.8191040311451918,-0.13045337893973596,0.007648345906732801,"Jupiter takes about 11.86 Earth years to complete one orbit around the Sun. This period is often referred to as a ""Jovian year."" While there may be some variation in sources due to rounding or different interpretations, the generally accepted value is approximately 11.86 years.",0,0,1.0,"The model's answer accurately states that Jupiter takes about 11.86 Earth years to orbit the Sun, which is a well-established fact."
How long does it take Jupiter to orbit the Sun?,In What Manner long does it take Jupiter to orbit the Sun?,synonyms,1.4772664061495597,1.4367145424121455,0.811455685238459,0.7935382229994434,-0.04055186373741426,-0.01791746223901558,"Jupiter takes about 11.86 Earth years to complete one orbit around the Sun. This lengthy orbital period is due to its great distance from the Sun, as it is the fifth planet in the solar system.",0,0,1.0,"The model's answer accurately states that Jupiter takes about 11.86 Earth years to orbit the Sun, which is a well-established fact."
How long does it take Jupiter to orbit the Sun?,How long does it from a contemporary perspective take Jupiter to orbit the Sun?,noise,1.4772664061495597,1.406833921806333,0.811455685238459,0.7599918791246867,-0.07043248434322669,-0.051463806113772326,"From a contemporary perspective, Jupiter takes about 11.86 Earth years to complete one orbit around the Sun. This period is often referred to as a ""Jovian year."" Jupiter's significant distance from the Sun and its large mass contribute to this long orbital period compared to Earth.",0,0,1.0,"The model's answer accurately states that Jupiter takes about 11.86 Earth years to orbit the Sun, which is a well-established fact."
How long does it take Jupiter to orbit the Sun?,How long does it take Jupiter to orbit the Sun? [gxwvqcCh5esM2wleOV91],nonsense,1.4772664061495597,1.4738332887488677,0.811455685238459,0.7129983457773303,-0.003433117400692076,-0.09845733946112867,Jupiter takes about 11.86 Earth years to complete one orbit around the Sun.,0,0,1.0,"The model's answer is correct as it accurately states that Jupiter takes about 11.86 Earth years to orbit the Sun, which is a verifiable fact."
How long does it take Jupiter to orbit the Sun?,"Assuming that the opposite is true, How long does it take Jupiter to orbit the Sun?",false_premise,1.4772664061495597,1.3911346176338253,0.811455685238459,0.7851043428582862,-0.08613178851573444,-0.026351342380172782,"Assuming the opposite is true, we would be suggesting that Jupiter does not take the time it actually takes to orbit the Sun. In reality, Jupiter takes approximately 11.86 Earth years to complete one orbit around the Sun. If we were to assume the opposite, we might say that it takes significantly less or more time, but without a specific time frame provided for the opposite scenario, it would be speculative. 

If you have a specific opposite scenario in mind, please clarify!",0,0,1.0,"The model correctly states that Jupiter takes approximately 11.86 Earth years to orbit the Sun, which is a verifiable fact."
